标的,名称,信号日(T),执行日(T+1),买入价(open×1.001),卖出日,卖出价(open×0.999),收益(卖/买-1),手续费,总净值,风控
SH516970,基建ETF广发,2021-09-02,2021-09-03,1.2613,2021-10-26,1.1439,-9.31%,0.0120%,12.0507,SL=20%
SZ159996,家电ETF,2021-10-25,2021-10-26,1.2372,2021-12-07,1.2278,-0.77%,0.0120%,11.9571,SL=20%
SH515220,煤炭ETF,2021-12-06,2021-12-07,0.8378,2022-01-19,0.8491,1.35%,0.0120%,12.1171,SL=20%
SH512930,AI人工智能ETF,2022-01-18,2022-01-19,1.5135,2022-03-09,1.2627,-16.57%,0.0120%,10.1082,SL=20%
SZ159985,豆粕ETF,2022-03-08,2022-03-09,1.6466,2022-04-22,1.6234,-1.41%,0.0120%,9.9641,SL=20%
SZ159985,豆粕ETF,2022-04-21,2022-04-22,-,2022-06-08,-,0.00%,0.0000%,9.9641,SL=20%
SZ159608,稀有金属ETF,2022-06-08,2022-06-09,0.9509,2022-07-21,1.0250,7.78%,0.0120%,10.7385,SL=20%
SZ159851,金融科技ETF,2022-07-20,2022-07-21,0.4785,2022-09-01,0.4625,-3.33%,0.0120%,10.3794,SL=20%
SH513360,教育ETF博时,2022-08-31,2022-09-01,0.4404,2022-10-21,0.4126,-6.32%,0.0120%,9.7219,SL=20%
SH513360,教育ETF博时,2022-10-20,2022-10-21,-,2022-12-01,-,0.00%,0.0000%,9.7219,SL=20%
SZ159766,旅游ETF,2022-12-01,2022-12-02,1.0370,2023-01-16,1.1209,8.08%,0.0120%,10.5066,SL=20%
SH515220,煤炭ETF,2023-01-13,2023-01-16,0.9920,2023-03-06,1.0480,5.64%,0.0120%,11.098,SL=20%
SH516970,基建ETF广发,2023-03-03,2023-03-06,1.2382,2023-04-18,1.3447,8.59%,0.0120%,12.0503,SL=20%
SH516970,基建ETF广发,2023-04-17,2023-04-18,-,2023-06-01,-,0.00%,0.0000%,12.0503,SL=20%
SZ159869,游戏ETF,2023-06-01,2023-06-02,1.5355,2023-07-18,1.2887,-16.07%,0.0120%,10.1121,SL=20%
SH513330,恒生互联网ETF,2023-07-17,2023-07-18,0.4394,2023-08-29,0.4366,-0.65%,0.0120%,10.0447,SL=20%
SZ159615,恒生生物科技ETF南方,2023-08-28,2023-08-29,0.8228,2023-10-18,0.8292,0.77%,0.0120%,10.121,SL=20%
SH518880,黄金ETF,2023-10-17,2023-10-18,4.5045,2023-11-29,4.5954,2.02%,0.0120%,10.324,SL=20%
SH515220,煤炭ETF,2023-11-28,2023-11-29,1.0661,2024-01-11,1.1239,5.42%,0.0120%,10.8826,SL=20%
SH513520,日经ETF,2024-01-10,2024-01-11,1.4064,2024-03-01,1.5784,12.23%,0.0120%,12.2121,SL=20%
SZ159995,芯片ETF,2024-02-29,2024-03-01,0.8849,2024-04-16,0.8172,-7.65%,0.0120%,11.2764,SL=20%
SH560280,工程机械ETF,2024-04-15,2024-04-16,1.1772,2024-05-31,1.1299,-4.02%,0.0120%,10.822,SL=20%
SZ159546,集成电路ETF,2024-05-30,2024-05-31,0.8428,2024-07-15,0.8931,5.96%,0.0120%,11.466,SL=20%
SH515250,智能汽车ETF,2024-07-12,2024-07-15,0.7998,2024-08-26,0.6933,-13.31%,0.0120%,9.9381,SL=20%
SH520830,沙特ETF,2024-08-23,2024-08-26,1.0160,2024-10-16,0.9930,-2.26%,0.0120%,9.7119,SL=20%
SH513500,标普500ETF博时,2024-10-15,2024-10-16,2.0270,2024-11-27,2.1948,8.28%,0.0120%,10.5145,SL=20%
SH513400,道琼斯ETF,2024-11-26,2024-11-27,1.2102,2025-01-09,1.1728,-3.09%,0.0120%,10.1884,SL=20%
SH513310,中韩半导体ETF,2025-01-08,2025-01-09,1.5085,2025-02-28,1.6084,6.62%,0.0120%,10.8618,SL=20%
SH515210,钢铁ETF,2025-02-27,2025-02-28,1.2072,2025-04-14,1.1169,-7.48%,0.0120%,10.0479,SL=20%
SH517520,黄金股ETF,2025-04-11,2025-04-14,1.3273,2025-05-29,1.3786,3.86%,0.0120%,10.4349,SL=20%
SZ159509,纳指科技ETF景顺,2025-05-28,2025-05-29,1.5686,2025-07-11,1.6753,6.81%,0.0120%,11.1438,SL=20%
SH515790,光伏ETF,2025-07-10,2025-07-11,0.7307,2025-08-22,0.7852,7.46%,0.0120%,11.9732,SL=20%
SH515880,通信ETF,2025-08-21,2025-08-22,0.6937,2025-10-13,0.8322,19.96%,0.0120%,14.3616,SL=20%
SH560860,工业有色ETF万家,2025-10-10,2025-10-13,1.3794,2025-11-24,1.3287,-3.68%,0.0120%,13.832,SL=20%
SZ159972,5年地债ETF,2025-11-21,2025-11-24,117.2692,2026-01-07,116.9020,-0.31%,0.0120%,13.787,SL=20%
SH513310,中韩半导体ETF,2026-01-06,2026-01-07,3.1071,2026-02-26,4.0949,31.79%,0.0120%,18.1679,SL=20%
SH513310,中韩半导体ETF,2026-02-25,2026-02-26,-,2026-03-13,-,0.00%,0.0000%,18.1679,SL=20%
