symbol,name,type,followers,current,current_year_percent,market_capital,total_shares
SZ159929,医药ETF,行业,32083,1.285,-3.67,2,374,942,400.86,1,848,204,203.00
SZ159643,疫苗ETF,行业,2268,0.551,-6.13,178,739,229.97,324,390,617.00
SH511880,银华日利ETF,债,116738,100.263,0.19,73,079,916,018.60,728,882,200.00
SH512800,银行ETF,行业,88069,0.775,-5.83,11,832,141,922.50,15,267,279,900.00
SH516620,影视ETF,行业,8216,1.064,0.57,340,232,620.00,319,767,500.00
SZ159309,油气ETF汇添富,行业,3704,1.752,51.95,2,201,163,281.47,1,256,371,736.00
SZ159869,游戏ETF,行业,29412,1.388,-3.61,11,066,637,992.28,7,973,082,127.00
SH512400,有色金属ETF,行业,89103,2.345,21.69,40,978,966,455.00,17,475,039,000.00
SH516510,云计算ETF易方达,行业,10420,1.74,2.9,2,658,528,600.00,1,527,890,000.00
SH512770,战略新兴ETF,概念,2035,2.091,-0.19,233,706,469.80,111,767,800.00
SH512880,证券ETF,行业,129884,1.115,-7.93,54,953,100,022.50,49,285,291,500.00
SH512070,证券保险ETF易方达,行业,21239,0.842,-8.87,18,330,743,907.40,21,770,479,700.00
SH516520,智能驾驶ETF,行业,6199,1.245,-3.19,1,165,028,047.50,935,765,500.00
SH515250,智能汽车ETF,行业,31436,1.121,-2.94,642,270,784.50,572,944,500.00
SH516800,智能制造ETF,行业,5572,0.83,4.93,221,035,640.00,266,308,000.00
SH513050,中概互联网ETF易方达,概念,272637,1.227,-16.36,40,015,454,922.90,32,612,432,700.00
SH560050,中国A50ETF汇添富,宽基,29013,1.016,-3.88,3,469,573,350.40,3,414,934,400.00
SH513310,中韩半导体ETF,海外行业,23018,3.787,46.95,6,322,120,049.00,1,669,427,000.00
SZ159902,中小100ETF华夏,宽基,13530,4.575,4.55,365,820,884.18,79,960,849.00
SH560080,中药ETF,行业,13347,1.019,-2.58,2,502,934,035.00,2,456,265,000.00
SH512100,中证1000ETF,宽基,33519,3.238,6.47,26,743,346,588.80,8,259,217,600.00
SH563300,中证2000ETF,宽基,14468,1.475,7.82,4,743,856,650.00,3,216,174,000.00
SH510500,中证500ETF,宽基,146742,8.317,10.43,80,057,517,446.20,9,625,768,600.00
SH512910,中证A100ETF,宽基,10029,1.284,0.39,208,815,379.20,162,628,800.00
SZ159338,中证A500ETF,宽基,39569,1.226,2.68,32,052,650,250.06,26,144,086,664.00
SH515080,中证红利ETF,概念,76227,1.651,6.52,7,789,663,833.90,4,718,148,900.00
SZ159209,中证红利质量ETF,概念,9296,1.264,6.91,1,858,882,706.99,1,470,635,053.00
SZ159235,中证现金流ETF大成,概念,8357,1.415,11.07,3,007,907,306.18,2,125,729,545.00
SH563210,专精特新ETF,概念,655,1.642,8.89,207,002,014.00,126,067,000.00
SH510410,资源ETF博时,行业,5906,2.293,25.99,1,222,761,511.20,533,258,400.00
SZ159201,自由现金流ETF,概念,38635,1.372,12.92,15,823,654,588.31,11,533,275,939.00
